order_item_id,order_id,product_id,quantity,discount_pct,line_total
1,1,18,1,10,13.49
2,2,12,2,10,34.18
3,3,9,1,0,22.99
4,3,1,1,0,39.99
5,4,6,3,10,94.47
6,5,4,3,15,63.72
7,5,17,3,0,104.97
8,5,12,1,15,16.14
9,5,23,1,0,129.99
10,6,24,3,0,53.97
11,6,22,2,0,43.98
12,6,18,1,0,14.99
13,7,19,3,10,75.57
14,7,24,2,10,32.38
15,7,9,1,10,20.69
16,7,2,2,10,107.98
17,8,17,3,20,83.98
18,8,10,1,0,44.99
19,8,9,1,20,18.39
20,8,14,2,10,179.98
21,9,3,3,0,59.97
22,9,6,3,0,104.97
23,10,22,2,0,43.98
24,10,17,3,20,83.98
25,10,24,3,10,48.57
26,10,5,2,0,299.98
27,11,23,2,10,233.98
28,12,20,2,20,31.98
29,13,6,2,15,59.48
30,13,3,3,0,59.97
31,14,6,3,0,104.97
32,14,12,3,15,48.42
33,14,4,1,0,24.99
34,14,11,2,0,53.98
35,15,7,1,20,23.99
36,15,10,3,15,114.72
37,15,21,1,0,32.99
38,15,17,3,0,104.97
39,16,24,2,0,35.98
40,16,6,2,0,69.98
41,16,13,1,0,79.99
42,17,16,1,0,44.99
43,18,14,2,0,199.98
44,18,6,2,10,62.98
45,18,18,2,0,29.98
46,19,12,3,0,56.97
47,20,14,1,10,89.99
48,20,24,2,20,28.78
49,20,11,2,0,53.98
50,20,2,2,0,119.98
51,21,17,1,20,27.99
52,21,24,1,0,17.99
53,21,13,2,0,159.98
54,21,5,3,0,449.97
55,22,20,2,0,39.98
56,22,24,2,0,35.98
57,22,1,2,0,79.98
58,22,14,1,10,89.99
59,23,9,3,0,68.97
60,24,23,3,0,389.97
61,25,8,1,0,89.99
62,25,4,2,20,39.98
63,26,3,2,0,39.98
64,26,2,2,10,107.98
65,27,16,3,0,134.97
66,27,2,1,0,59.99
67,27,17,2,20,55.98
68,27,14,3,0,299.97
69,28,2,1,10,53.99
70,28,1,2,0,79.98
71,29,14,1,0,99.99
72,30,4,3,0,74.97
73,30,22,1,0,21.99
74,30,1,3,15,101.97
75,31,8,1,0,89.99
76,31,21,1,15,28.04
77,31,9,1,10,20.69
78,32,7,2,20,47.98
79,32,23,1,20,103.99
80,33,7,1,0,29.99
81,33,18,2,0,29.98
82,33,24,2,15,30.58
83,33,5,3,20,359.98
84,34,14,1,0,99.99
85,35,10,3,0,134.97
86,35,2,3,0,179.97
87,36,6,2,10,62.98
88,37,13,1,0,79.99
89,37,20,3,0,59.97
90,37,9,3,0,68.97
91,37,7,3,0,89.97
92,38,10,2,0,89.98
93,38,23,1,0,129.99
94,39,21,1,20,26.39
95,40,2,1,0,59.99
96,40,21,1,10,29.69
97,40,8,3,10,242.97
98,41,24,3,0,53.97
99,41,5,1,10,134.99
100,41,14,1,15,84.99
101,42,6,3,10,94.47
102,42,9,3,0,68.97
103,42,1,3,10,107.97
104,43,15,2,0,129.98
105,43,8,3,10,242.97
106,44,12,2,0,37.98
107,44,5,1,15,127.49
108,44,16,1,0,44.99
109,44,3,2,20,31.98
110,45,10,1,15,38.24
111,46,3,1,0,19.99
112,46,5,2,20,239.98
113,47,24,3,0,53.97
114,47,1,2,0,79.98
115,48,5,1,10,134.99
116,49,1,1,0,39.99
117,50,7,1,0,29.99
118,51,10,2,0,89.98
119,51,11,1,0,26.99
120,52,1,1,0,39.99
121,53,5,2,0,299.98
122,53,1,3,0,119.97
123,53,8,3,0,269.97
124,53,14,3,15,254.97
125,54,8,1,20,71.99
126,55,4,1,10,22.49
127,55,12,1,0,18.99
128,55,3,2,0,39.98
129,56,20,1,0,19.99
130,56,10,2,10,80.98
131,56,12,2,15,32.28
132,57,21,2,0,65.98
133,57,5,2,10,269.98
134,58,4,3,0,74.97
135,59,6,2,0,69.98
136,59,13,2,0,159.98
137,60,5,2,0,299.98
138,60,21,2,0,65.98
139,60,8,2,0,179.98
140,61,19,3,0,83.97
141,62,23,1,0,129.99
142,62,3,1,20,15.99
143,63,5,2,15,254.98
144,63,4,1,0,24.99
145,63,2,1,15,50.99
146,63,12,3,20,45.58
147,64,2,1,0,59.99
148,64,24,3,10,48.57
149,65,12,3,0,56.97
150,65,2,2,15,101.98
151,65,23,1,0,129.99
152,65,4,2,0,49.98
153,66,5,1,10,134.99
154,66,6,3,20,83.98
155,66,16,2,0,89.98
156,66,24,2,0,35.98
157,67,4,3,0,74.97
158,67,5,1,0,149.99
159,67,2,1,0,59.99
160,68,18,3,0,44.97
161,68,23,1,0,129.99
162,68,9,1,0,22.99
163,68,19,1,0,27.99
164,69,13,3,20,191.98
165,69,6,3,15,89.22
166,70,11,1,15,22.94
167,70,21,3,0,98.97
168,70,13,2,0,159.98
169,70,6,1,0,34.99
170,71,18,1,0,14.99
171,71,4,1,10,22.49
172,72,21,1,0,32.99
173,72,2,3,0,179.97
174,73,2,1,20,47.99
175,73,11,2,20,43.18
176,73,3,3,0,59.97
177,73,10,2,10,80.98
178,74,11,2,15,45.88
179,75,1,2,0,79.98
180,75,19,1,0,27.99
181,76,23,1,15,110.49
182,77,23,3,0,389.97
183,77,6,3,10,94.47
184,78,11,2,10,48.58
185,78,10,2,0,89.98
186,79,8,1,0,89.99
187,79,7,2,0,59.98
188,79,20,1,0,19.99
189,79,3,2,0,39.98
190,80,16,1,0,44.99
191,81,3,3,0,59.97
192,81,9,1,0,22.99
193,82,16,3,20,107.98
194,82,9,1,20,18.39
195,82,15,2,0,129.98
196,83,20,2,0,39.98
197,83,22,3,20,52.78
198,83,5,2,0,299.98
199,83,15,2,0,129.98
200,84,20,3,0,59.97
201,85,5,1,0,149.99
202,86,8,2,15,152.98
203,87,15,1,0,64.99
204,87,21,1,20,26.39
205,87,18,2,10,26.98
206,87,4,1,0,24.99
207,88,7,1,0,29.99
208,88,23,1,0,129.99
209,88,24,2,0,35.98
210,88,16,1,0,44.99
211,89,12,2,20,30.38
212,90,22,2,0,43.98
213,91,3,2,0,39.98
214,91,9,3,0,68.97
215,92,6,2,0,69.98
